"","Gp","Ep","Sp","ESGIp"
"Chile-2011",79.9926468681417,47.3664354415685,83.4231332629131,80.66485154554
"Chile-2012",80.5090027386063,45.448656511293,84.9044749189137,81.2108398567359
"Chile-2013",80.5379935994491,45.0957807100255,84.2713168859123,81.0791356722731
"Chile-2014",80.5753987615819,49.9840194059067,84.9037288993563,81.634687660262
"Chile-2015",78.4353915045941,50.0159128923688,84.5423226659757,79.8711815116472
"Chile-2016",76.9999761344134,49.7604702924718,84.8781024236016,78.7804749721894
"Chile-2017",75.5336927071975,50.3552195082935,84.3949182858119,77.5722927012572
"Chile-2018",77.361071349075,51.7649329375619,85.6743832446848,79.388684691899
"Chile-2019",75.8376787017783,51.517621652051,85.6417456114602,78.1558133036703
"China-2004",21.4108841885114,32.4449892733902,65.2705048811214,29.4556688067252
"China-2005",22.1163627421401,31.8055160961475,67.3178934865127,30.3685103321353
"China-2006",22.8687418939738,30.4420888562155,70.0936417000991,31.4038636798561
"China-2007",24.9887675980483,29.8270741480564,71.9546840843024,33.4016534655223
"China-2008",26.788799059893,30.7900089331133,73.8308404207199,35.2783195907003
"China-2009",27.4052025926408,30.097563786495,75.8232838049535,36.1053851586233
"China-2010",27.3395860757082,30.0323675791232,78.0016062158836,36.4807548356881
"China-2011",28.6732614869757,28.1585795080879,79.8236443770119,37.745122096822
"China-2012",29.3706404657604,30.2109979014123,81.6891733236983,38.835884465056
"China-2013",30.2503007689136,30.2464546025134,83.3386053347595,39.8628645867261
"China-2014",33.145652101523,32.1355527994275,84.4070275275529,42.5221583439348
"China-2015",34.2316558512007,33.1949597934406,85.2620318175897,43.638576721118
"China-2016",35.8836782004023,34.3844840464377,86.1086502967736,45.2121266944861
"China-2017",39.0090637190939,34.6406561113284,87.3171358450127,47.9476379880947
"China-2018",39.983420129797,34.8211369946699,89.0999779566927,49.0879679820545
"China-2019",39.6306742302015,35.3912311426614,90.9661156887688,49.2260262884208
"Colombia-2004",25.2115650428748,93.4939738152705,70.2877886300728,38.4610264250985
"Colombia-2005",27.1073390752873,92.3705239562402,74.9769714562932,40.8013556696048
"Colombia-2006",29.868500818246,92.4703603365699,75.9097556079128,43.1809321185192
"Colombia-2007",31.979432308893,93.0172084203167,77.4328870100769,45.1995571830791
"Colombia-2008",32.5595872745318,94.129228522164,80.2945591091143,46.3183484269665
"Colombia-2009",31.493826114829,87.4442024043184,79.9612368326282,44.8608590592682
"Colombia-2010",34.6684797375373,86.8444794398903,81.4439038417885,47.6197419362372
"Colombia-2011",37.9799556548929,93.3285052993889,81.7909612881196,50.8415267151899
"Colombia-2012",37.4070556905013,90.9208645848955,83.1066811952073,50.4520910117525
"Colombia-2013",38.231636437231,84.6740282747819,84.4303077287716,50.856256774939
"Colombia-2014",39.8796412528531,84.5768811082222,85.7619953877932,52.4175977248113
"Colombia-2015",41.1913237030366,81.4082173655008,86.6460246596774,53.3721990932476
"Colombia-2016",42.6693992136409,82.1704453726098,86.9130179205944,54.6579084379576
"Colombia-2017",42.35426901145,90.1815681628029,87.9514558747104,55.2707395975123
"Colombia-2018",42.9919227855378,88.7122838745936,88.3144151413027,55.7273603694955
"Colombia-2019",44.3493363743151,86.0735078293059,89.9119189518066,56.9032756020975
"Czech Republic-2004",70.058006916179,17.0162549365764,85.2288664229633,70.6722747371085
"Czech Republic-2005",72.1893462150244,17.8026998554503,86.5505944514787,72.6866766017927
"Czech Republic-2006",73.6173589273101,17.995401109876,87.0479842197007,73.9318687734789
"Czech Republic-2007",72.3998130635298,17.6394531272799,87.8052095052506,73.0891357590695
"Czech Republic-2008",74.2734128301013,19.0140404322361,88.2344983808543,74.7703835599209
"Czech Republic-2009",74.2676406890281,21.1383292665535,87.4424898768903,74.7824745033951
"Czech Republic-2010",74.5726667326298,21.5864240474553,87.3395667067,75.0402310760311
"Czech Republic-2011",75.4003483475623,22.8971364856239,87.5541403033896,75.8455027192169
"Czech Republic-2012",74.1998088319046,24.1649416466631,88.1255797161915,75.1123120458171
"Czech Republic-2013",74.272475873369,25.8211519890051,88.3112130361456,75.3423530657465
"Czech Republic-2014",75.5266671230022,26.2012989969735,88.3673375912424,76.3776298840724
"Czech Republic-2015",76.1613297219146,26.4767429304401,86.7363339114281,76.5787256849146
"Czech Republic-2016",75.6687153326902,26.2385678693465,86.8111418397424,76.1840546766163
"Czech Republic-2017",77.0172833167688,26.3113690404942,87.1326850638786,77.3216009397215
"Czech Republic-2018",76.409719031573,26.3451324626822,87.3207445439881,76.8806839431728
"Czech Republic-2019",75.824255779325,26.9584620095701,87.6918767488722,76.5410914121238
"Denmark-2004",97.2935392030724,22.846157230851,77.1918946976902,91.1169444979774
"Denmark-2005",95.4055802809474,26.1345755590184,78.0149919617571,90.0549588324721
"Denmark-2006",96.8694239373043,19.6454835929632,79.3977568376097,90.9571627559012
"Denmark-2007",98.0572558820282,24.8176800603213,80.7429648761807,92.5883879815423
"Denmark-2008",97.1841513122279,26.7939328551779,81.0071182203892,92.1114270409008
"Denmark-2009",97.0322562853578,27.6885283510834,81.5614729511049,92.1745353537058
