"","X","Gp","Ep","Sp","ESGIp","spreads","country","year","real_interest_rate","yearQ","quarter","total_debt","debt_to_GDP","fx","nonbank_domestic_debt","bank_domestic_debt","official_domestic_debt","domestic_debt","nonbank_foreign_debt","bank_foreign_debt","official_foreign_debt","foreign_debt","woe_country_code","GDP_cte","GDP_cur","GDP_per_cap_cte","inflation_mean","inflation_end","unemployment","lending_borroeing_rate","account_balance","develop","ln_GDP_cte","ln_GDP_cur","ln_GDP_per_cap_cte","taxes","vix_EUA","vix_EUR","Scale","nominal_rate","GDP_per_cap_cur_USD","ln_GDP_per_cap_cur","yearnum","post_08","post_09","post_15","post_16","post_17","ticker","fx_volatility","less_20","bet_20_40","bet_40_60","bet_60_80","bet_80_100","more_100","fx_return","int_liq"
"21","Austria-2008",93.4592006442909,68.5102285823648,89.2142406845544,94.2087220125762,1.6427,"Austria","2008",NA,"2008Q4",4,195.30075,67,1.4949,30.3445,33.05375,64.54075,64.54075,73.9405,26.71,30.1095,130.76,122,1460,355952,1139,3.228,1.492,4.092,-1.521,4.49,"AM",7.28619171470238,12.7825511692829,7.03790596344718,29.0302638886835,32.5826717557252,33.7087614503817,"Units",2.5,51708.7657541758,10.8533825964954,2008,"YES","NO","NO","NO","NO","13",0.0506591085834863,"NO","NO","NO","YES","YES","NO",0.0910934443587029,NA
"22","Austria-2009",90.6745444039386,71.0801308235903,89.8987728617429,92.350417324305,-0.1198,"Austria","2009",NA,"2009Q4",4,217.02975,75.15,1.412275,35.81025,40.43875,77.933,77.933,82.26125,25.27225,31.5625,139.0965,122,-3765,345164,-3995,0.000405,1.04,5.333,-5.356,2.596,"AM",NA,12.7517749453835,NA,26.0059887127633,31.5984942084942,33.6347776061776,"Units",1,47963.1794023217,10.7781888997365,2009,"YES","YES","NO","NO","NO","13",0.0377348282260518,"NO","NO","NO","YES","YES","NO",0.0681149240751889,NA
"23","Austria-2010",91.2716482417609,67.3368651243333,90.806263913062,92.6968587311767,0.2135,"Austria","2010",NA,"2010Q4",4,241.02875,82.475,1.319,47.31775,43.72475,93.22875,93.22875,82.916,26.88,38.004,147.8,122,1837,355601,1599,1.694,2.183,4.842,-4.453,2.855,"AM",7.51588908521513,12.7815645947664,7.37713371283395,26.4445645662247,22.494578313253,26.3612714859438,"Units",1,46858.0432733717,10.7548779543263,2010,"YES","YES","NO","NO","NO","13",0.0347512855488028,"NO","NO","NO","NO","YES","NO",-0.0585048945849781,NA
"24","Austria-2011",89.7498346229931,67.5384994413818,91.8895037804696,91.7236409139868,1.0278,"Austria","2011",NA,"2011Q4",4,251.44125,82.175,1.37755,47.165,45.51275,95.24625,95.24625,83.381,25.947,46.867,156.19475,122,2923,373640,2586,3.542,3.308,4.592,-2.577,1.631,"AM",7.98036576511125,12.8310480459868,7.8578675593318,26.660641463424,24.2025793650794,30.0778968253968,"Units",1,51374.9584066934,10.8469061421961,2011,"YES","YES","NO","NO","NO","13",0.0241703884011374,"NO","NO","NO","NO","YES","NO",-0.0707164518574678,NA
"25","Austria-2012",91.1091072548169,73.5078053376039,92.4083295857867,93.3917462278757,-0.00940000000000007,"Austria","2012",NA,"2012Q4",4,261.52175,82.95,1.30175,46.0065,50.40275,99.35125,99.35125,83.30425,30.7645,48.10175,162.17025,122,0.68,383398,0.229,2.566,2.81,4.917,-2.189,1.483,"AM",-0.385662480811985,12.856828893096,-1.4740332754279,26.993281110221,17.8154901960784,24.5842854901961,"Units",0.75,48567.69528642,10.7907138828328,2012,"YES","YES","NO","NO","NO","13",0.0200653932370865,"NO","NO","NO","NO","YES","NO",0.0425029944466626,NA
"26","Austria-2013",91.8168112879801,75.557252428932,91.9207830904959,94.0230700615087,-0.7562,"Austria","2013",NA,"2013Q4",4,265.74225,82.6,1.329525,30.615,51.91175,85.77175,85.77175,101.13025,35.0705,43.76975,179.9705,122,0.026,390224,-0.575,2.12,1.856,5.333,-1.95,1.943,"AM",-3.64965874096066,12.8744762121992,NA,27.3637576864748,14.2290310077519,18.533330620155,"Units",0.25,50716.7087062864,10.834010695568,2013,"YES","YES","NO","NO","NO","13",0.0148147279281075,"NO","NO","NO","NO","YES","NO",-0.0582293067025159,12473.8479620136
"27","Austria-2014",91.4752804288918,78.3450860518541,91.6525689793666,93.9277045543682,-1.5282,"Austria","2014",NA,"2014Q4",4,270.86175,82.2,1.30425,6.0565,57.05725,66.33775,66.33775,119.826,42.0815,42.61625,204.5235,122,0.661,400074,-0.125,1.466,0.000699,5.608,-2.729,2.474,"AM",-0.414001439130451,12.8994048089797,NA,27.9240583627399,14.1312109375,18.281921875,"Units",0.05,51717.4959405515,10.8535514160245,2014,"YES","YES","NO","NO","NO","13",0.0307875006631778,"NO","NO","NO","NO","YES","NO",0.0208909196893628,14145.0812352233
"28","Austria-2015",89.710775269935,75.3420837685234,92.2604282641797,92.4054704985469,-1.3704,"Austria","2015",NA,"2015Q4",4,290.254,85.425,1.10095,5.5795,62.472,77.3205,77.3205,119.035,50.766,43.13225,212.9335,122,1015,408340,0.013,0.000808,0.000975,5.742,-1.046,1.725,"AM",6.92264389147589,12.9198554396902,-4.3428059215206,28.7077989931565,16.7210116731517,23.9926661478599,"Units",0.05,44178.0473777432,10.6959832790246,2015,"YES","YES","YES","NO","NO","13",0.0242099568225278,"NO","NO","NO","NO","YES","NO",-0.0193789534215067,12697.611667636
"29","Austria-2016",89.1434824566449,76.1004175315199,89.2675138967448,91.4239695351031,-2.0183,"Austria","2016",NA,"2016Q4",4,296.14975,83.975,1.104725,3.284,59.504,84.681,84.681,109.20525,49.446,52.818,211.4685,122,2083,421161,0.794,0.000972,1.544,6.033,-1.574,2.727,"AM",7.64156444126097,12.9507704623624,-0.230671817735001,26.4255771633301,15.863488372093,23.5903348837209,"Units",0,45237.8050921543,10.7196884120804,2016,"YES","YES","YES","YES","NO","13",0.0206759258482347,"NO","NO","NO","NO","YES","NO",-0.184658703846678,12940.1015805846
"30","Austria-2017",89.3987235184497,74.2254350089213,88.8610845944391,91.3917761499056,-1.8234,"Austria","2017",NA,"2017Q4",4,292.49925,80.025,1.14755,1.746,54.65925,92.24575,92.24575,95.02975,40.60725,64.61675,200.2535,122,2476,439718,1606,2.228,2.275,5.517,-0.000699,1.552,"AM",7.81439963380449,12.9938888913335,7.38150189450671,27.0240733573006,11.0908914728682,14.7667779069768,"Units",0,47549.0790402349,10.769517699547,2017,"YES","YES","YES","YES","YES","13",0.0406004218599563,"NO","NO","NO","NO","YES","NO",0.00341714001222031,9894.23864926207
