country,year,real_interest_rate,yearQ,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker,fx_volatility,less_20,bet_20_40,bet_40_60,bet_60_80,bet_80_100,more_100,fx_return,int_liq
Indonesia,2014,6.792118581,2014Q4,4,2534258.854,24.82691361,8.34E-05,341350.9255,347951.75,1051752.676,1051752.676,594485.4383,187682.5058,700338.2348,1482506.179,536,5007,2695.668,3613,6.397,8.363,5.94,-2.146,-3.087,EM,8.518592212,7.899401319,8.192293731,35.25151016,14.13121094,18.28192188,Units,7.75,3491.624791,8.158122463,2014,YES,YES,NO,NO,NO,16,320.313379,NO,YES,NO,NO,NO,NO,-0.135489923,108835.5346
Indonesia,2015,8.349910635,2015Q4,4,2985995.404,26.7433044,7.30E-05,378745.012,440852.75,1189685.512,1189685.512,840454.243,193527.049,762328.5995,1796309.892,536,4876,2856.55,3472,6.361,3.359,6.18,-2.604,-2.035,EM,8.492080491,7.957369882,8.152486076,39.98837261,16.72101167,23.99266615,Units,7.5,3331.695128,8.111236501,2015,YES,YES,YES,NO,NO,16,526.5256813,NO,YES,NO,NO,NO,NO,-0.11468218,103268.2471
Indonesia,2016,9.224432344,2016Q4,4,3377782.562,28.02319887,7.56E-05,462532.3695,521974.25,1353174.62,1353174.62,1007729.093,227426.7223,789452.127,2024607.942,536,5033,3031.39,3851,3.527,3.021,5.61,-2.486,-1.819,EM,8.523771507,8.016776539,8.256088134,42.82335386,15.86348837,23.59033488,Units,4.75,3562.845756,8.178314874,2016,YES,YES,YES,YES,NO,16,248.4849004,NO,YES,NO,NO,NO,NO,-0.141558009,113493.3929
Indonesia,2017,6.501563996,2017Q4,4,3790279.187,28.83217606,7.45E-05,550971.7053,576686.25,1513887.955,1513887.955,1198011.904,267302.8613,811076.468,2276391.233,536,5070,3245.058,3920,3.809,3.608,5.5,-2.509,-1.595,EM,8.531096097,8.084888503,8.273846933,38.81973265,11.09089147,14.76677791,Units,4.25,3837.651731,8.25261593,2017,YES,YES,YES,YES,YES,16,100.377669,NO,YES,NO,NO,NO,NO,0.034389103,126857.3954
Indonesia,2018,6.469796696,2018Q4,4,4311681,30.02503481,6.95E-05,707271.186,634042,1732658.436,1732658.436,1381492.997,330806.3958,866723.1708,2579022.564,536,5170,3495.968,4053,3.292,3.157,5.34,-1.75,-2.938,EM,8.550627968,8.159365583,8.307212627,38.59531784,16.56910156,16.33180938,Units,6,3893.846425,8.267152746,2018,YES,YES,YES,YES,YES,16,551.4475297,NO,YES,NO,NO,NO,NO,-0.015024411,117424.6459
Indonesia,2019,8.622939249,2019Q4,4,4655750.577,30.06180026,7.09E-05,828509.8895,690953,1923383.89,1923383.89,1513281.296,372862.2965,846223.0945,2732366.687,536,5025,3735.644,3943,2.82,2.586,5.28,-2.229,-2.715,EM,8.522180733,8.225675506,8.279697134,NA,15.38300781,15.04932422,Units,5,4135.569263,8.327380267,2019,YES,YES,YES,YES,YES,16,139.487161,NO,YES,NO,NO,NO,NO,-0.07161098,125339.3902
Malaysia,2004,3.45E-02,2004Q4,4,203.28875,41.27907184,0.263157895,100.79525,34.2755,135.26225,135.26225,44.43325,6.89275,16.70075,68.0265,548,6783,397548,4371,1.42,2.183,3.55,-3.353,11.099,EM,8.822174761,12.89307096,8.382747095,45.11559589,15.45679389,18.88629771,Units,2.7,4952.212975,8.507589821,2004,NO,NO,NO,NO,NO,21,0.011240767,NO,NO,YES,YES,NO,NO,NA,NA
Malaysia,2005,-2.673174104,2005Q4,4,228.9535,41.79458073,0.264043586,123.6115,33.81025,158.0995,158.0995,47.6615,8.05975,15.1325,70.85375,548,4976,430328,2709,3.039,3.211,3.55,-2.833,13.764,EM,8.512381634,12.97230299,7.904334842,46.65531547,12.77984615,14.031135,Units,3,5587.02565,8.62820234,2005,NO,NO,NO,NO,NO,21,0.017339635,NO,NO,YES,YES,NO,NO,NA,NA
Malaysia,2006,2.409000977,2006Q4,4,245.75575,40.53923686,0.274494671,147.78025,35.1895,184.24125,184.24125,41.32375,7.01225,13.17875,61.51475,548,5584,468110,4189,3.621,3.146,3.325,-2.602,15.362,EM,8.627660644,13.05645859,8.340217321,46.41733256,12.78038462,16.52674885,Units,3.5,6209.124508,8.733775184,2006,NO,NO,NO,NO,NO,21,0.058411593,NO,NO,YES,YES,NO,NO,0.003354336,NA
Malaysia,2007,1.456735347,2007Q4,4,269.459,40.76811977,0.29347958,168.45625,36.08325,206.60225,206.60225,45.5985,7.9905,9.268,62.85725,548,6299,510964,5246,2.027,2.288,3.225,-2.571,14.663,EM,8.74814617,13.14405442,8.56522116,45.93970416,17.45256705,19.61442874,Units,3.5,7243.455987,8.887853718,2007,NO,NO,NO,NO,NO,21,0.062398033,NO,NO,YES,YES,NO,NO,0.038073909,NA
